,Pickup Address,Destination Address,Platform Type,Personal or Business,Distance (KM),Rider Id,Time from Pickup to Arrival
135,Nairobi,Nairobi,1,Personal,6,Rider_Id_465,1660
136,Nairobi,Nairobi,2,Personal,4,Rider_Id_409,1042
137,Nairobi,Pumwani,3,Business,22,Rider_Id_793,2128
138,Pumwani,Nairobi,3,Business,14,Rider_Id_364,1948
139,Nairobi,Pumwani,3,Business,15,Rider_Id_846,2426
140,Nairobi,Nairobi,3,Business,9,Rider_Id_607,2690
141,Nairobi,Nairobi,1,Business,6,Rider_Id_888,1418
142,Nairobi,Athi River,3,Business,21,Rider_Id_828,2457
143,Nairobi,Nairobi,3,Business,5,Rider_Id_268,2395
144,Pumwani,Nairobi,3,Business,15,Rider_Id_276,1286
145,Nairobi,Nairobi,3,Business,5,Rider_Id_268,933
146,Nairobi,Nairobi,3,Business,5,Rider_Id_812,712
147,Nairobi,Pumwani,3,Business,15,Rider_Id_547,3189
148,Nairobi,Nairobi,3,Business,12,Rider_Id_79,1586
149,Nairobi,Nairobi,3,Business,14,Rider_Id_523,1732
150,Nairobi,Nairobi,3,Business,7,Rider_Id_685,1311
151,Nairobi,Nairobi,3,Business,7,Rider_Id_510,2106
152,Pumwani,Nairobi,1,Personal,10,Rider_Id_662,1429
153,Nairobi,Nairobi,2,Personal,8,Rider_Id_844,1191
154,Nairobi,Nairobi,3,Business,14,Rider_Id_555,1647
155,Nairobi,Ngong,3,Business,14,Rider_Id_821,2412
156,Nairobi,Nairobi,2,Personal,10,Rider_Id_124,1653
157,Nairobi,Nairobi,1,Personal,4,Rider_Id_312,922
158,Kiambu,Pumwani,3,Business,3,Rider_Id_402,1163
159,Nairobi,Pumwani,3,Business,10,Rider_Id_517,20
160,Pumwani,Nairobi,3,Business,9,Rider_Id_764,1982
161,Nairobi,Nairobi,1,Personal,8,Rider_Id_159,882
162,Pumwani,Nairobi,3,Business,18,Rider_Id_856,2994
163,Nairobi,Nairobi,3,Business,10,Rider_Id_233,1361
164,Nairobi,Nairobi,3,Business,12,Rider_Id_871,1492
165,Nairobi,Nairobi,3,Business,8,Rider_Id_456,3021
166,Nairobi,Nairobi,3,Business,15,Rider_Id_208,1317
167,Nairobi,Athi River,3,Business,20,Rider_Id_290,2288
168,Nairobi,Nairobi,3,Business,5,Rider_Id_766,8
169,Nairobi,Pumwani,3,Business,13,Rider_Id_291,2391
170,Nairobi,Nairobi,3,Business,10,Rider_Id_101,2638
171,Nairobi,Nairobi,3,Business,4,Rider_Id_571,934
172,Nairobi,Pumwani,3,Business,11,Rider_Id_576,1295
173,Nairobi,Nairobi,3,Business,16,Rider_Id_136,1387
174,Pumwani,Nairobi,3,Business,15,Rider_Id_459,4709
175,Nairobi,Nairobi,3,Business,11,Rider_Id_564,2755
176,Pumwani,Nairobi,3,Business,13,Rider_Id_152,2750
177,Nairobi,Nairobi,3,Business,8,Rider_Id_787,1376
178,Nairobi,Nairobi,1,Personal,14,Rider_Id_215,2277
179,Nairobi,Nairobi,2,Personal,8,Rider_Id_431,921
180,Nairobi,Nairobi,3,Business,4,Rider_Id_101,698
181,Nairobi,Kiambu,3,Business,21,Rider_Id_424,3128
182,Nairobi,Nairobi,3,Business,3,Rider_Id_868,3124
183,Nairobi,Nairobi,3,Business,11,Rider_Id_148,1658
184,Nairobi,Nairobi,3,Business,4,Rider_Id_685,682
185,Pumwani,Nairobi,2,Personal,11,Rider_Id_86,5391
186,Nairobi,Pumwani,3,Business,15,Rider_Id_379,1557
187,Nairobi,Nairobi,3,Business,6,Rider_Id_709,1230
188,Nairobi,Nairobi,3,Business,1,Rider_Id_456,455
189,Nairobi,Nairobi,1,Personal,3,Rider_Id_338,1819
190,Nairobi,Nairobi,3,Business,5,Rider_Id_348,1086
191,Nairobi,Nairobi,3,Business,9,Rider_Id_937,1423
192,Pumwani,Nairobi,3,Business,15,Rider_Id_691,2377
193,Nairobi,Kiambu,3,Business,29,Rider_Id_267,3082
194,Nairobi,Nairobi,3,Personal,8,Rider_Id_630,1590
195,Nairobi,Kiambu,3,Personal,29,Rider_Id_79,4748
196,Nairobi,Nairobi,3,Business,11,Rider_Id_101,2761
197,Nairobi,Nairobi,3,Business,3,Rider_Id_484,879
198,Nairobi,Nairobi,3,Business,15,Rider_Id_280,2065
199,Nairobi,Nairobi,3,Business,15,Rider_Id_778,2191
200,Nairobi,Pumwani,3,Business,12,Rider_Id_383,985
201,Nairobi,Nairobi,3,Business,8,Rider_Id_422,3342
202,Nairobi,Athi River,3,Business,23,Rider_Id_430,2947
203,Nairobi,Nairobi,1,Personal,6,Rider_Id_680,980
204,Nairobi,Nairobi,3,Business,8,Rider_Id_103,776
205,Nairobi,Ngong,3,Business,17,Rider_Id_120,1512
206,Nairobi,Nairobi,3,Business,6,Rider_Id_415,1267
207,Nairobi,Nairobi,3,Business,10,Rider_Id_574,1398
208,Nairobi,Ngong,3,Business,17,Rider_Id_648,2048
209,Kikuyu,Nairobi,1,Personal,8,Rider_Id_74,1394
210,Nairobi,Nairobi,3,Business,5,Rider_Id_250,682
211,Nairobi,Ngong,3,Business,9,Rider_Id_628,1050
212,Nairobi,Nairobi,3,Business,3,Rider_Id_866,1551
213,Nairobi,Nairobi,3,Business,16,Rider_Id_428,2521
214,Nairobi,Nairobi,2,Personal,7,Rider_Id_752,1061
215,Nairobi,Pumwani,3,Business,15,Rider_Id_854,2640
216,Nairobi,Nairobi,3,Business,9,Rider_Id_749,1028
217,Nairobi,Nairobi,3,Business,5,Rider_Id_205,2083
218,Nairobi,Kiambu,3,Business,16,Rider_Id_932,4033
219,Nairobi,Nairobi,1,Personal,6,Rider_Id_434,1196
220,Nairobi,Nairobi,3,Business,6,Rider_Id_778,930
221,Nairobi,Nairobi,3,Business,9,Rider_Id_279,858
222,Nairobi,Nairobi,3,Business,2,Rider_Id_112,741
223,Nairobi,Kiambu,3,Business,26,Rider_Id_200,3704
224,Nairobi,Nairobi,3,Business,8,Rider_Id_862,1169
225,Nairobi,Nairobi,3,Business,5,Rider_Id_676,619
226,Nairobi,Nairobi,3,Business,9,Rider_Id_88,929
227,Nairobi,Nairobi,3,Business,5,Rider_Id_151,1844
228,Nairobi,Nairobi,2,Personal,6,Rider_Id_753,1312
229,Nairobi,Pumwani,3,Business,17,Rider_Id_576,1846
230,Nairobi,Nairobi,3,Business,5,Rider_Id_106,1203
231,Nairobi,Nairobi,3,Business,8,Rider_Id_831,1464
232,Nairobi,Nairobi,3,Business,7,Rider_Id_453,813
233,Kiambu,Kiambu,1,Personal,8,Rider_Id_453,737
234,Nairobi,Nairobi,3,Business,6,Rider_Id_379,1045
235,Nairobi,Kiambu,3,Business,20,Rider_Id_449,1878
236,Nairobi,Nairobi,3,Personal,10,Rider_Id_208,2137
237,Nairobi,Nairobi,3,Business,8,Rider_Id_131,3308
238,Pumwani,Pumwani,3,Business,11,Rider_Id_75,1309
239,Nairobi,Pumwani,3,Business,11,Rider_Id_831,1812
240,Pumwani,Nairobi,1,Personal,11,Rider_Id_105,1424
241,Pumwani,Nairobi,3,Business,15,Rider_Id_704,239
242,Nairobi,Nairobi,3,Business,6,Rider_Id_361,527
243,Nairobi,Nairobi,3,Business,2,Rider_Id_206,770
244,Nairobi,Pumwani,3,Business,11,Rider_Id_812,4674
245,Nairobi,Nairobi,3,Business,7,Rider_Id_837,1233
246,Nairobi,Nairobi,3,Business,10,Rider_Id_193,111
247,Nairobi,Athi River,3,Business,20,Rider_Id_831,2307
248,Nairobi,Nairobi,3,Business,8,Rider_Id_344,1799
249,Nairobi,Nairobi,3,Business,11,Rider_Id_515,1019
250,Nairobi,Nairobi,3,Business,7,Rider_Id_312,930
251,Kiambu,Nairobi,1,Personal,6,Rider_Id_453,526
252,Pumwani,Nairobi,1,Personal,10,Rider_Id_549,1476
253,Ngong,Nairobi,3,Business,27,Rider_Id_789,2701
254,Nairobi,Nairobi,3,Business,3,Rider_Id_536,746
255,Nairobi,Kiambu,3,Business,13,Rider_Id_119,1706
256,Nairobi,Nairobi,1,Personal,4,Rider_Id_396,491
257,Nairobi,Kikuyu,1,Business,20,Rider_Id_103,2998
258,Nairobi,Nairobi,3,Business,3,Rider_Id_167,2830
259,Nairobi,Kiambu,1,Personal,8,Rider_Id_409,2269
260,Nairobi,Nairobi,3,Business,10,Rider_Id_854,2096
261,Pumwani,Pumwani,3,Business,9,Rider_Id_26,1139
262,Nairobi,Nairobi,3,Business,9,Rider_Id_791,1295
263,Nairobi,Nairobi,3,Business,3,Rider_Id_720,13
264,Pumwani,Nairobi,1,Personal,8,Rider_Id_698,2244
265,Nairobi,Nairobi,3,Business,12,Rider_Id_36,2192
266,Nairobi,Ngong,3,Business,18,Rider_Id_647,2791
267,Nairobi,Nairobi,1,Personal,3,Rider_Id_329,516
268,Pumwani,Nairobi,1,Personal,5,Rider_Id_532,900
269,Nairobi,Pumwani,3,Business,19,Rider_Id_831,3410
270,Nairobi,Nairobi,3,Business,10,Rider_Id_647,1142
271,Nairobi,Pumwani,3,Business,13,Rider_Id_570,2072
272,Nairobi,Kiambu,3,Business,12,Rider_Id_882,1376
273,Nairobi,Nairobi,3,Business,9,Rider_Id_519,2162
274,Nairobi,Nairobi,3,Business,4,Rider_Id_531,862
275,Nairobi,Pumwani,3,Business,16,Rider_Id_409,1419
276,Nairobi,Nairobi,3,Business,1,Rider_Id_641,745
277,Nairobi,Kikuyu,2,Personal,13,Rider_Id_735,1531
278,Kiambu,Pumwani,3,Business,5,Rider_Id_531,720
279,Nairobi,Nairobi,3,Business,5,Rider_Id_127,3405
280,Nairobi,Nairobi,3,Business,7,Rider_Id_330,1179
281,Nairobi,Pumwani,3,Business,15,Rider_Id_137,850
282,Nairobi,Nairobi,3,Personal,6,Rider_Id_425,1424
283,Nairobi,Nairobi,3,Business,11,Rider_Id_518,1658
284,Nairobi,Nairobi,3,Business,9,Rider_Id_107,2539
285,Nairobi,Nairobi,3,Business,4,Rider_Id_781,879
286,Nairobi,Nairobi,3,Business,9,Rider_Id_382,1759
287,Nairobi,Athi River,3,Business,20,Rider_Id_116,2405
288,Nairobi,Pumwani,3,Business,18,Rider_Id_456,1905
289,Nairobi,Pumwani,3,Business,4,Rider_Id_805,2049
290,Nairobi,Nairobi,3,Business,15,Rider_Id_137,343
291,Nairobi,Nairobi,3,Business,8,Rider_Id_298,1053
292,Nairobi,Nairobi,3,Personal,6,Rider_Id_755,1701
293,Nairobi,Nairobi,3,Business,9,Rider_Id_199,1209
294,Nairobi,Nairobi,3,Business,9,Rider_Id_320,1415
295,Nairobi,Pumwani,3,Business,12,Rider_Id_882,1412
296,Pumwani,Nairobi,2,Personal,16,Rider_Id_532,2932
297,Nairobi,Nairobi,3,Business,8,Rider_Id_576,890
298,Nairobi,Nairobi,3,Business,5,Rider_Id_178,1955
299,Nairobi,Nairobi,3,Business,4,Rider_Id_857,910
300,Nairobi,Nairobi,3,Business,2,Rider_Id_879,953
301,Nairobi,Nairobi,3,Business,9,Rider_Id_652,2
302,Nairobi,Nairobi,3,Personal,5,Rider_Id_796,1013
303,Nairobi,Pumwani,3,Business,15,Rider_Id_815,1516
304,Nairobi,Nairobi,3,Business,1,Rider_Id_845,12
305,Nairobi,Nairobi,3,Business,4,Rider_Id_523,487
306,Pumwani,Nairobi,3,Business,13,Rider_Id_450,1410
307,Pumwani,Nairobi,3,Personal,18,Rider_Id_409,2591
308,Nairobi,Pumwani,3,Business,7,Rider_Id_953,2
309,Kikuyu,Nairobi,3,Business,8,Rider_Id_310,1280
310,Nairobi,Nairobi,3,Business,2,Rider_Id_849,1833
311,Pumwani,Nairobi,3,Business,16,Rider_Id_550,1814
312,Nairobi,Nairobi,3,Business,2,Rider_Id_547,481
313,Nairobi,Kiambu,3,Business,19,Rider_Id_246,3392
314,Nairobi,Kiambu,3,Personal,11,Rider_Id_726,1204
315,Nairobi,Nairobi,3,Business,10,Rider_Id_50,2383
316,Nairobi,Nairobi,3,Business,8,Rider_Id_518,1201
317,Nairobi,Nairobi,3,Business,13,Rider_Id_564,1487
318,Nairobi,Nairobi,3,Business,10,Rider_Id_246,1076
319,Pumwani,Pumwani,1,Business,8,Rider_Id_263,1152
320,Pumwani,Thika,3,Personal,32,Rider_Id_627,4343
321,Nairobi,Pumwani,3,Business,10,Rider_Id_518,2982
322,Pumwani,Nairobi,1,Personal,5,Rider_Id_808,2024
323,Nairobi,Nairobi,1,Personal,4,Rider_Id_761,838
324,Nairobi,Nairobi,3,Business,5,Rider_Id_785,1205
325,Nairobi,Nairobi,1,Personal,8,Rider_Id_88,897
326,Ngong,Nairobi,1,Personal,18,Rider_Id_726,2286
327,Pumwani,Kiambu,3,Business,28,Rider_Id_415,5155
328,Nairobi,Nairobi,3,Business,4,Rider_Id_844,1754
329,Nairobi,Nairobi,3,Business,4,Rider_Id_247,1183
330,Nairobi,Nairobi,3,Personal,3,Rider_Id_559,640
331,Pumwani,Nairobi,3,Business,8,Rider_Id_622,1448
332,Pumwani,Pumwani,3,Business,6,Rider_Id_775,775
333,Nairobi,Nairobi,3,Business,7,Rider_Id_171,1331
334,Kikuyu,Nairobi,3,Personal,11,Rider_Id_474,1341
335,Ngong,Nairobi,3,Business,17,Rider_Id_350,2322
336,Nairobi,Nairobi,3,Business,8,Rider_Id_929,1414
337,Nairobi,Nairobi,3,Business,4,Rider_Id_452,3397
338,Nairobi,Nairobi,3,Business,14,Rider_Id_211,1720
339,Nairobi,Pumwani,3,Business,22,Rider_Id_519,2885
340,Nairobi,Nairobi,2,Personal,2,Rider_Id_882,493
341,Pumwani,Pumwani,3,Personal,7,Rider_Id_328,1168
342,Nairobi,Nairobi,3,Business,8,Rider_Id_447,1471
343,Nairobi,Pumwani,1,Personal,11,Rider_Id_159,1195
344,Nairobi,Pumwani,3,Business,13,Rider_Id_453,1259
345,Nairobi,Nairobi,3,Business,15,Rider_Id_393,1498
346,Nairobi,Nairobi,3,Business,5,Rider_Id_958,711
347,Nairobi,Nairobi,3,Business,5,Rider_Id_878,649
348,Nairobi,Nairobi,1,Business,8,Rider_Id_519,2828
349,Nairobi,Nairobi,3,Business,5,Rider_Id_690,4755
350,Nairobi,Nairobi,3,Business,7,Rider_Id_448,3758
351,Pumwani,Nairobi,3,Business,13,Rider_Id_161,1722
352,Nairobi,Pumwani,1,Personal,5,Rider_Id_848,797
353,Nairobi,Pumwani,3,Business,18,Rider_Id_272,1985
354,Nairobi,Nairobi,3,Personal,7,Rider_Id_903,1230
355,Nairobi,Nairobi,3,Business,2,Rider_Id_49,7
356,Nairobi,Nairobi,3,Business,4,Rider_Id_548,1056
357,Pumwani,Nairobi,3,Business,3,Rider_Id_56,579
358,Ngong,Nairobi,3,Business,14,Rider_Id_831,3220
359,Nairobi,Nairobi,3,Business,8,Rider_Id_269,1504
360,Nairobi,Nairobi,3,Business,9,Rider_Id_50,1459
361,Kiambu,Nairobi,3,Business,14,Rider_Id_8,1257
362,Nairobi,Nairobi,3,Business,8,Rider_Id_952,1073
363,Pumwani,Nairobi,3,Business,15,Rider_Id_519,2688
364,Nairobi,Nairobi,3,Business,1,Rider_Id_168,851
365,Nairobi,Nairobi,3,Business,4,Rider_Id_548,956
366,Nairobi,Nairobi,3,Business,6,Rider_Id_726,901
367,Nairobi,Nairobi,3,Business,10,Rider_Id_731,1094
368,Nairobi,Nairobi,3,Business,11,Rider_Id_281,1851
369,Nairobi,Nairobi,3,Business,10,Rider_Id_303,938
370,Nairobi,Nairobi,3,Business,3,Rider_Id_548,808
371,Nairobi,Nairobi,3,Business,8,Rider_Id_648,2043
372,Nairobi,Nairobi,1,Personal,10,Rider_Id_312,932
373,Nairobi,Nairobi,3,Business,11,Rider_Id_857,1491
374,Pumwani,Nairobi,3,Business,14,Rider_Id_276,1069
375,Nairobi,Nairobi,3,Personal,9,Rider_Id_312,2288
376,Nairobi,Nairobi,3,Personal,3,Rider_Id_407,2672
377,Nairobi,Kikuyu,3,Business,14,Rider_Id_309,2400
378,Nairobi,Nairobi,3,Business,3,Rider_Id_208,802
379,Pumwani,Nairobi,1,Personal,11,Rider_Id_465,1826
380,Nairobi,Nairobi,3,Business,8,Rider_Id_10,5
381,Nairobi,Nairobi,3,Business,1,Rider_Id_819,2997
382,Nairobi,Nairobi,3,Business,3,Rider_Id_107,719
383,Nairobi,Nairobi,3,Business,1,Rider_Id_101,513
384,Nairobi,Nairobi,3,Business,5,Rider_Id_383,508
385,Nairobi,Nairobi,3,Business,10,Rider_Id_207,1531
386,Nairobi,Pumwani,3,Business,16,Rider_Id_536,1354
387,Nairobi,Nairobi,3,Business,5,Rider_Id_647,2
388,Nairobi,Nairobi,3,Business,7,Rider_Id_682,633
389,Nairobi,Nairobi,3,Business,5,Rider_Id_576,1165
390,Nairobi,Nairobi,3,Business,8,Rider_Id_7,874
391,Nairobi,Nairobi,3,Business,5,Rider_Id_751,876
392,Nairobi,Nairobi,3,Business,3,Rider_Id_615,935
393,Pumwani,Nairobi,3,Business,17,Rider_Id_851,1778
394,Kiambu,Pumwani,3,Business,18,Rider_Id_96,1949
395,Nairobi,Nairobi,3,Business,7,Rider_Id_489,3017
396,Nairobi,Nairobi,3,Business,2,Rider_Id_436,974
397,Nairobi,Nairobi,3,Business,11,Rider_Id_365,1721
398,Nairobi,Pumwani,3,Business,16,Rider_Id_829,4014
399,Pumwani,Nairobi,3,Business,10,Rider_Id_452,3029
400,Pumwani,Nairobi,3,Business,17,Rider_Id_145,1422
401,Nairobi,Nairobi,3,Business,4,Rider_Id_576,714
402,Nairobi,Nairobi,3,Business,11,Rider_Id_591,2649
403,Athi River,Nairobi,3,Business,21,Rider_Id_177,2309
404,Pumwani,Pumwani,3,Business,9,Rider_Id_86,417
405,Nairobi,Nairobi,3,Business,8,Rider_Id_436,1511
406,Pumwani,Nairobi,3,Business,10,Rider_Id_444,1580
407,Nairobi,Nairobi,3,Business,11,Rider_Id_10,3
408,Pumwani,Nairobi,3,Business,11,Rider_Id_427,1485
409,Nairobi,Nairobi,3,Business,5,Rider_Id_326,692
410,Nairobi,Pumwani,3,Business,10,Rider_Id_913,853
411,Nairobi,Nairobi,3,Business,15,Rider_Id_749,2130
412,Nairobi,Nairobi,3,Business,8,Rider_Id_267,837
413,Nairobi,Nairobi,3,Business,14,Rider_Id_523,1610
414,Nairobi,Kikuyu,3,Business,22,Rider_Id_353,2330
415,Nairobi,Nairobi,3,Business,8,Rider_Id_314,6
416,Nairobi,Nairobi,3,Business,3,Rider_Id_726,233
417,Nairobi,Nairobi,3,Business,2,Rider_Id_206,104
418,Nairobi,Pumwani,3,Business,17,Rider_Id_268,2324
419,Pumwani,Pumwani,3,Business,5,Rider_Id_60,1214
420,Nairobi,Nairobi,3,Business,4,Rider_Id_881,760
421,Nairobi,Nairobi,3,Business,8,Rider_Id_649,1387
